ticker,fiscal_period,fiscal_date,report_date,revenue,eps,net_income,equity,total_debt,free_cash_flow,roe,roic,debt_to_equity,gross_margin,operating_margin
AAPL,Q3,2009-09-30,2009-11-14,36.6748,0.9293,7.0379,172.0703,129.796,5.726,0.1636,0.1391,0.7865,0.5873,0.3703
AAPL,Q4,2009-12-31,2010-03-31,36.2214,0.7719,6.9509,179.0198,135.3299,6.1432,0.1553,0.132,0.7865,0.5873,0.3703
AAPL,Q1,2010-03-31,2010-05-15,35.3359,0.8106,6.781,185.7994,140.7955,5.8756,0.146,0.1241,0.7865,0.5873,0.3703
AAPL,Q2,2010-06-30,2010-08-14,34.6643,0.722,6.6521,192.4501,146.1275,6.1058,0.1383,0.1175,0.7865,0.5873,0.3703
AAPL,Q3,2010-09-30,2010-11-14,38.2173,0.897,7.3339,199.7824,151.3582,7.1377,0.1468,0.1248,0.7865,0.5873,0.3703
AAPL,Q4,2010-12-31,2011-03-31,37.8572,0.7749,7.2648,207.0458,157.1249,6.6142,0.1404,0.1193,0.7865,0.5873,0.3703
AAPL,Q1,2011-03-31,2011-05-15,39.7619,0.719,7.6303,214.6749,162.8374,6.6074,0.1422,0.1208,0.7865,0.5873,0.3703
AAPL,Q2,2011-06-30,2011-08-14,41.9871,0.8632,8.0573,222.7307,168.8375,6.7216,0.1447,0.123,0.7865,0.5873,0.3703
AAPL,Q3,2011-09-30,2011-11-14,43.5439,0.8363,8.3561,231.0852,175.1732,6.7029,0.1446,0.1229,0.7865,0.5873,0.3703
AAPL,Q4,2011-12-31,2012-03-30,44.2327,0.8731,8.4883,239.5719,181.7439,7.5036,0.1417,0.1205,0.7865,0.5873,0.3703
AAPL,Q1,2012-03-31,2012-05-15,42.0054,1.0342,8.0608,247.6309,188.4185,7.4288,0.1302,0.1107,0.7865,0.5873,0.3703
AAPL,Q2,2012-06-30,2012-08-14,41.6233,1.0481,7.9875,255.6166,194.7568,6.3845,0.125,0.1062,0.7865,0.5873,0.3703
AAPL,Q3,2012-09-30,2012-11-14,41.2337,0.8449,7.9128,263.5278,201.0373,6.3375,0.1201,0.1021,0.7865,0.5873,0.3703
AAPL,Q4,2012-12-31,2013-03-31,41.1056,0.8711,7.8882,271.4144,207.2593,7.2262,0.1163,0.0988,0.7865,0.5873,0.3703
AAPL,Q1,2013-03-31,2013-05-15,43.4521,1.0298,8.3385,279.751,213.462,7.342,0.1192,0.1013,0.7865,0.5873,0.3703
AAPL,Q2,2013-06-30,2013-08-14,43.5794,1.1198,8.3629,288.1119,220.0186,8.1474,0.1161,0.0987,0.7865,0.5873,0.3703
AAPL,Q3,2013-09-30,2013-11-14,45.7823,1.1683,8.7856,296.8954,226.5942,7.9647,0.1184,0.1006,0.7865,0.5873,0.3703
AAPL,Q4,2013-12-31,2014-03-31,44.5949,1.1354,8.5578,305.4512,233.5023,7.5912,0.1121,0.0953,0.7865,0.5873,0.3703
AAPL,Q1,2014-03-31,2014-05-15,46.6818,1.1449,8.9583,314.4074,240.2312,7.8168,0.114,0.0969,0.7865,0.5873,0.3703
AAPL,Q2,2014-06-30,2014-08-14,49.9617,1.1822,9.5877,323.9929,247.2751,8.2672,0.1184,0.1006,0.7865,0.5873,0.3703
AAPL,Q3,2014-09-30,2014-11-14,47.6537,1.421,9.1448,333.1351,254.8139,8.5298,0.1098,0.0933,0.7865,0.5873,0.3703
AAPL,Q4,2014-12-31,2015-03-31,52.0013,1.6849,9.9791,343.1111,262.0041,8.6542,0.1163,0.0989,0.7865,0.5873,0.3703
AAPL,Q1,2015-03-31,2015-05-15,51.6652,1.5458,9.9146,353.0229,269.85,8.3333,0.1123,0.0955,0.7865,0.5873,0.3703
AAPL,Q2,2015-06-30,2015-08-14,52.2608,1.7024,10.0289,363.0487,277.6454,9.108,0.1105,0.0939,0.7865,0.5873,0.3703
AAPL,Q3,2015-09-30,2015-11-14,53.3271,1.8258,10.2335,373.2789,285.5305,9.1604,0.1097,0.0932,0.7865,0.5873,0.3703
AAPL,Q4,2015-12-31,2016-03-30,58.4403,1.9339,11.2147,384.4901,293.5764,10.0693,0.1167,0.0992,0.7865,0.5873,0.3703
AAPL,Q1,2016-03-31,2016-05-15,58.5529,2.5485,11.2363,395.7218,302.3938,10.7825,0.1136,0.0965,0.7865,0.5873,0.3703
AAPL,Q2,2016-06-30,2016-08-14,55.9628,2.8298,10.7393,406.456,311.2273,10.093,0.1057,0.0898,0.7865,0.5873,0.3703
AAPL,Q3,2016-09-30,2016-11-14,52.154,2.9716,10.0084,416.459,319.6695,8.8907,0.0961,0.0817,0.7865,0.5873,0.3703
AAPL,Q4,2016-12-31,2017-03-31,54.5056,2.5706,10.4596,426.914,327.5367,9.2863,0.098,0.0833,0.7865,0.5873,0.3703
AAPL,Q1,2017-03-31,2017-05-15,57.4258,3.3513,11.02,437.928,335.7593,9.2342,0.1007,0.0856,0.7865,0.5873,0.3703
AAPL,Q2,2017-06-30,2017-08-14,55.4799,2.6849,10.6466,448.5698,344.4216,9.0274,0.0949,0.0807,0.7865,0.5873,0.3703
AAPL,Q3,2017-09-30,2017-11-14,56.3522,2.6302,10.814,459.3791,352.7912,8.7805,0.0942,0.08,0.7865,0.5873,0.3703
AAPL,Q4,2017-12-31,2018-03-31,57.3506,1.5666,11.0056,470.3819,361.2924,8.9188,0.0936,0.0796,0.7865,0.5873,0.3703
AAPL,Q1,2018-03-31,2018-05-15,59.7147,1.5956,11.4593,481.8383,369.9459,10.1755,0.0951,0.0809,0.7865,0.5873,0.3703
AAPL,Q2,2018-06-30,2018-08-14,61.185,1.7702,11.7414,493.5765,378.9561,11.3964,0.0952,0.0809,0.7865,0.5873,0.3703
AAPL,Q3,2018-09-30,2018-11-14,64.5991,1.4505,12.3966,505.9705,388.188,12.0744,0.098,0.0833,0.7865,0.5873,0.3703
AAPL,Q4,2018-12-31,2019-03-31,62.7798,1.418,12.0475,518.0154,397.9356,10.8672,0.093,0.0791,0.7865,0.5873,0.3703
AAPL,Q1,2019-03-31,2019-05-15,62.5982,1.6945,12.0126,530.0249,407.4087,10.8534,0.0907,0.0771,0.7865,0.5873,0.3703
AAPL,Q2,2019-06-30,2019-08-14,65.1898,2.1859,12.51,542.5309,416.854,11.6707,0.0922,0.0784,0.7865,0.5873,0.3703
AAPL,Q3,2019-09-30,2019-11-14,63.3973,2.3925,12.166,554.6926,426.6897,10.232,0.0877,0.0746,0.7865,0.5873,0.3703
AAPL,Q4,2019-12-31,2020-03-30,67.4137,2.4249,12.9367,567.6249,436.2546,11.2413,0.0912,0.0775,0.7865,0.5873,0.3703
AAPL,Q1,2020-03-31,2020-05-15,67.973,2.4531,13.044,580.6645,446.4256,12.4495,0.0899,0.0764,0.7865,0.5873,0.3703
AAPL,Q2,2020-06-30,2020-08-14,66.1613,2.8716,12.6964,593.3557,456.681,10.9597,0.0856,0.0728,0.7865,0.5873,0.3703
AAPL,Q3,2020-09-30,2020-11-14,64.2893,3.1644,12.3371,605.6872,466.6624,10.1647,0.0815,0.0693,0.7865,0.5873,0.3703
AAPL,Q4,2020-12-31,2021-03-31,62.5978,3.4959,12.0125,617.6934,476.3608,10.7878,0.0778,0.0661,0.7865,0.5873,0.3703
AAPL,Q1,2021-03-31,2021-05-15,59.6411,3.5567,11.4452,629.1322,485.8035,10.6379,0.0728,0.0619,0.7865,0.5873,0.3703
